Date,ADS.DE,AKZA.AS,ALV.DE,ASML.AS,ATO.PA,BAS.DE,BAYN.DE,BEI.DE,BMW.DE,BN.PA,BNP.PA,CA.PA,CAP.PA,CO.PA,COFB.BR,CON.DE,CRBN.AS,CS.PA,DAI.DE,DBK.DE,DSY.PA,DTE.DE,EN.PA,ENGI.PA,EO.PA,EXO.MI,G.MI,GFC.PA,HEI.DE,HEIA.AS
2000-01-26,6652208.0,1162133.0,506894.0,14868024.0,85411.0,4562228.0,2723374.0,46125.0,1488286.0,7170997.0,4142967.0,3164638.0,313011.0,196255.0,2899.0,552659.0,232300.0,12485861.0,3077640.0,3403424.0,469836.0,5758867.0,5796400.0,4600000.0,24529.0,85595.0,3687970.0,11082.0,75674.0,2697915.0
2000-01-27,12711184.0,2468711.0,493862.0,19308571.0,219345.0,4552184.0,2352383.0,60489.0,1465579.0,4639731.0,5042450.0,1863736.0,2350731.0,233422.0,1118.0,292238.0,381800.0,16248079.0,4048289.0,3125691.0,328124.0,8318974.0,11152500.0,4393000.0,18374.0,180863.0,2957020.0,6048.0,20997.0,2041291.0
2000-01-28,5069984.0,1611200.0,411507.0,8146602.0,284105.0,2828366.0,1492380.0,24780.0,1356705.0,4289112.0,4408624.0,1150682.0,559645.0,136676.0,3769.0,187580.0,285634.0,12062252.0,3100640.0,3561848.0,249712.0,5558299.0,4941900.0,13086000.0,6659.0,107723.0,3151390.0,39457.0,4099.0,2898196.0
2000-01-31,7662288.0,2936089.0,561054.0,10517453.0,132159.0,3176436.0,2637784.0,15513.0,1266189.0,4353274.0,3940544.0,1396032.0,307251.0,158722.0,1630.0,345882.0,361300.0,14311769.0,2986119.0,2513166.0,224626.0,5418907.0,6440800.0,4953500.0,29737.0,126273.0,2463890.0,53492.0,14171.0,1935942.0
2000-02-01,4685600.0,1824089.0,532923.0,12579435.0,218979.0,5474216.0,2204788.0,39150.0,2078029.0,6374634.0,4326866.0,1565442.0,364999.0,275790.0,35410.0,241083.0,244900.0,12387909.0,2968483.0,4099791.0,331074.0,7081932.0,7370300.0,3603500.0,15799.0,251088.0,3203750.0,62041.0,52350.0,1837918.0
2000-02-02,996788.0,1857067.0,638876.0,9960404.0,263094.0,4979456.0,1767529.0,34446.0,2105588.0,6579448.0,4854259.0,1269120.0,501821.0,122009.0,1490.0,303184.0,179700.0,8600558.0,2418840.0,4399271.0,477122.0,6490477.0,11215200.0,15585000.0,19988.0,875958.0,5172200.0,21529.0,28324.0,2065051.0
2000-02-03,2996256.0,1919733.0,597104.0,8086979.0,232274.0,5097152.0,2104281.0,29187.0,3704287.0,4656348.0,7505942.0,1576512.0,445088.0,266106.0,1340.0,380613.0,319000.0,27317392.0,2630009.0,4049482.0,439512.0,12427457.0,16849200.0,14246500.0,25605.0,371928.0,6791400.0,28273.0,17077.0,1473767.0
2000-02-04,643648.0,3028800.0,458640.0,10295471.0,202066.0,3334640.0,2025800.0,50070.0,1773280.0,4066715.0,5197741.0,1611612.0,307467.0,190354.0,317.0,244298.0,286200.0,14492573.0,2114788.0,4631850.0,308822.0,8599838.0,31382500.0,6400500.0,8933.0,217433.0,4504830.0,88124.0,55477.0,2757540.0
2000-02-07,7798800.0,1539814.0,514632.0,4856425.0,67717.0,3709496.0,1834646.0,25320.0,2047498.0,2921767.0,7470131.0,920794.0,174800.0,234933.0,1776.0,301806.0,457046.0,9851669.0,2049399.0,1832727.0,394348.0,5336094.0,36814300.0,4509000.0,16227.0,146678.0,3504160.0,38304.0,97990.0,1105067.0
2000-02-08,5407520.0,1038972.0,489248.0,12575856.0,219306.0,4316328.0,2715773.0,39801.0,2249446.0,3082986.0,5795818.0,1959082.0,353693.0,96996.0,2383.0,109083.0,778219.0,20051280.0,2040491.0,2379388.0,1040700.0,7965978.0,14065300.0,6065500.0,14005.0,331515.0,3884650.0,26497.0,49570.0,1801357.0
